,lang,topic,days,worth
318,8,13,730,0
319,8,13,730,0
320,8,13,730,0
321,1,13,730,0
322,1,13,730,0
323,1,3,730,1
324,8,13,730,0
325,8,13,730,0
326,8,3,730,0
327,8,13,730,0
328,8,13,730,0
329,8,13,730,0
330,8,13,730,0
331,8,13,730,0
332,8,13,730,0
333,1,3,730,0
334,8,13,730,0
335,8,13,730,0
336,8,13,730,0
337,8,13,730,0
338,8,13,730,0
339,8,13,730,0
340,8,13,730,0
341,1,13,730,0
342,8,13,730,0
343,8,13,730,0
344,8,13,730,0
345,8,3,730,1
346,8,3,730,0
347,1,3,730,0
348,8,3,730,0
349,8,13,730,0
350,8,13,730,0
351,8,13,730,0
352,8,13,730,0
353,8,13,730,0
354,8,13,730,0
355,8,13,730,0
356,8,13,730,0
357,8,13,730,0
358,8,13,730,0
359,1,13,730,0
360,1,13,730,0
361,1,13,730,0
362,1,3,730,0
363,1,13,730,0
364,1,13,730,0
365,1,13,730,0
366,8,13,730,0
367,8,13,730,0
368,2,3,730,0
369,8,13,730,0
370,8,13,730,0
371,8,13,730,0
372,8,13,730,0
373,8,13,730,0
374,8,13,730,0
375,8,10,730,0
376,8,13,730,0
377,8,13,730,0
378,8,10,730,0
379,8,13,730,0
380,8,13,730,0
381,8,13,730,0
382,8,3,730,1
383,8,3,730,0
384,1,13,730,0
385,8,13,730,1
386,8,3,730,0
387,8,3,730,1
388,8,3,730,0
389,8,3,730,0
390,8,13,730,1
391,8,13,730,0
392,8,13,730,0
393,8,13,730,0
394,8,13,730,0
395,8,13,730,0
396,8,13,730,0
397,8,13,730,0
398,8,13,730,0
399,8,13,730,1
400,8,13,730,1
401,8,13,730,1
402,1,3,730,0
403,1,3,730,0
404,1,13,730,0
405,1,3,730,1
406,8,13,730,0
407,1,3,730,1
408,8,13,730,0
409,8,13,730,0
410,8,13,1095,0
411,1,13,1095,1
412,8,13,1095,1
413,8,13,1095,0
414,8,13,1095,0
415,1,13,1095,1
416,1,13,1095,0
417,8,13,1095,1
418,8,3,1095,0
419,1,13,1095,0
420,1,3,1095,1
421,8,3,1095,0
422,8,3,1095,0
423,8,3,1095,0
424,1,13,1095,0
425,8,13,1095,0
426,8,13,1095,1
427,8,3,1095,0
428,1,13,1095,1
429,1,13,1095,0
430,8,3,1095,0
431,8,3,1095,0
432,8,13,1095,1
433,8,3,1095,0
434,8,13,1095,1
435,8,3,1095,1
436,8,13,1095,1
437,8,3,1095,1
438,1,13,1095,0
439,8,13,1095,0
440,1,13,1095,0
441,1,3,1095,0
442,8,13,1095,0
443,8,13,1095,0
444,8,13,1095,0
445,1,13,1095,1
446,8,13,1095,0
447,1,13,1095,0
448,8,13,1095,0
449,1,13,1095,0
450,8,13,1095,0
451,8,3,1095,0
452,8,13,1095,0
453,8,3,1095,1
454,1,13,1095,0
455,8,13,1095,0
456,1,13,1095,0
457,1,1,1095,1
458,8,13,1095,0
459,8,13,1095,1
460,8,3,1095,0
461,8,3,1095,0
462,1,3,1095,0
463,1,3,1095,1
464,8,3,1095,0
465,8,3,1095,0
466,8,13,1095,0
467,1,1,1095,0
468,8,1,1095,0
469,8,13,1095,0
470,8,13,1095,0
471,8,13,1095,0
472,8,13,1095,0
473,1,13,1095,1
474,2,13,1095,0
475,1,13,1095,1
476,1,13,1095,0
477,1,3,1095,0
478,8,3,1095,1
479,8,13,1095,1
480,8,13,1095,0
481,1,13,1095,0
482,1,1,1095,0
483,1,13,1095,1
484,8,13,1095,1
485,1,13,1095,0
486,8,3,1095,0
487,1,13,1095,1
488,8,3,1095,0
489,1,13,1095,0
490,1,1,1095,0
491,1,3,1095,0
492,1,3,1095,0
493,1,3,1095,1
494,1,3,1095,1
495,8,3,1095,0
496,8,3,1095,0
497,8,13,1095,1
498,8,3,1095,1
499,8,13,1095,1
500,1,13,1095,0
501,8,1,1095,0
502,8,3,1095,0
503,8,3,1095,0
504,8,3,1095,0
505,1,13,1095,0
506,1,13,1095,0
507,8,3,1095,0
508,1,3,1095,0
509,1,3,1095,0
510,8,13,1095,0
511,1,1,1095,1
512,8,13,1095,0
513,8,13,1095,0
514,8,3,1095,0
515,8,13,1095,0
516,8,13,1095,0
517,8,13,1095,0
518,1,3,1095,1
519,8,13,1095,0
520,8,13,1095,1
521,8,13,1095,1
522,1,13,1095,0
523,1,3,1095,1
524,8,13,1095,0
525,8,13,1095,1
526,8,13,1095,1
527,8,13,1095,1
528,8,3,1095,0
529,8,13,1095,0
530,8,3,1095,0
531,1,3,1095,1
532,8,3,1095,0
533,8,13,1095,0
534,1,10,1095,1
535,1,13,1095,1
536,8,3,1095,1
537,8,13,1095,0
538,8,13,1095,1
539,1,3,1095,1
540,8,3,1095,0
541,8,3,1095,0
542,1,13,1095,1
543,1,13,1095,1
544,1,13,1095,1
545,1,13,1095,1
546,8,13,1095,1
547,8,3,1095,1
548,8,13,1095,0
549,8,13,1095,0
550,1,1,1095,1
551,1,3,1095,0
552,1,13,1095,0
553,1,13,1095,0
554,8,13,1095,0
555,1,13,1095,1
556,8,13,1095,1
557,2,13,1095,0
558,8,13,1095,0
559,1,1,1095,0
560,1,3,1095,1
561,1,10,1095,1
562,8,13,1095,0
563,8,13,1095,0
564,8,13,1095,0
565,8,13,1095,0
566,1,3,1095,0
567,1,3,1095,0
568,1,1,1095,0
569,8,13,1095,1
570,8,5,1095,0
571,1,13,1095,1
572,2,13,1095,0
573,1,5,1095,0
574,1,1,1095,0
575,8,3,1095,0
576,8,13,1095,1
577,1,3,1095,0
578,8,3,1095,0
579,8,13,1095,0
580,1,1,1095,1
581,8,3,1095,0
582,1,1,1095,1
583,1,1,1095,1
584,1,1,1095,1
585,1,13,1095,1
586,1,13,1095,1
587,1,13,1095,0
588,8,13,1095,1
589,1,13,1095,0
590,1,13,1095,0
591,1,13,1095,0
592,1,13,1095,0
593,8,3,1095,1
594,1,1,1095,1
595,1,1,1095,1
596,1,1,1095,0
597,8,3,1095,0
598,1,1,1095,1
599,1,1,1095,0
600,1,1,1095,0
601,8,3,1095,0
602,1,1,1095,0
603,1,1,1095,1
604,8,13,1095,0
605,8,13,1095,0
606,8,3,1095,0
607,1,1,1095,0
608,1,1,1095,0
609,8,3,1095,0
610,1,1,1095,1
611,8,13,1095,0
612,8,13,1095,0
613,1,13,1095,0
614,1,13,1095,0
615,1,13,1095,1
616,1,13,1095,0
617,1,13,1095,0
618,8,13,1095,0
619,8,13,1095,0
620,8,13,1095,0
621,1,13,1095,0
622,1,3,1095,1
623,1,3,1095,1
624,1,3,1095,1
625,1,3,1095,1
626,1,3,1095,1
627,1,3,1095,1
628,8,13,1460,0
629,2,13,1460,0
630,8,13,1460,1
631,8,10,1460,1
632,8,13,1460,1
633,1,13,1460,0
634,1,13,1460,1
635,8,3,1460,1
636,1,13,1460,0
637,8,13,1460,0
638,1,3,1460,1
639,8,13,1460,0
640,8,13,1460,0
641,8,13,1460,0
642,8,13,1460,1
643,8,13,1460,0
644,8,3,1460,0
645,8,3,1460,0
646,8,3,1460,0
647,8,3,1460,0
648,8,3,1460,0
649,8,13,1460,0
650,8,13,1460,0
651,8,3,1460,0
652,8,3,1460,0
653,8,3,1460,0
654,8,3,1460,0
655,8,3,1460,0
656,8,3,1460,0
657,2,13,1460,0
658,8,13,1460,0
659,8,13,1460,0
660,8,13,1460,0
661,8,13,1460,0
662,8,13,1460,0
663,8,13,1460,0
664,8,13,1460,1
665,8,10,1460,0
666,8,13,1460,0
667,8,13,1460,0
668,8,13,1460,0
669,8,13,1460,0
670,8,13,1460,0
671,8,13,1460,1
672,8,13,1460,1
673,8,13,1460,1
